,open time,open,high,low,close
163,2018-04-28,0.00000642,0.00000669,0.00000628,0.00000662
164,2018-04-29,0.00000662,0.00000860,0.00000641,0.00000699
165,2018-04-30,0.00000699,0.00000732,0.00000673,0.00000693
166,2018-05-01,0.00000693,0.00000794,0.00000667,0.00000771
167,2018-05-02,0.00000772,0.00000894,0.00000746,0.00000847
168,2018-05-03,0.00000847,0.00000849,0.00000769,0.00000772
169,2018-05-04,0.00000776,0.00000787,0.00000725,0.00000739
170,2018-05-05,0.00000739,0.00000773,0.00000710,0.00000767
171,2018-05-06,0.00000767,0.00000773,0.00000676,0.00000699
172,2018-05-07,0.00000700,0.00000706,0.00000653,0.00000679
173,2018-05-08,0.00000679,0.00000737,0.00000652,0.00000687
174,2018-05-09,0.00000687,0.00000692,0.00000633,0.00000649
175,2018-05-10,0.00000649,0.00000676,0.00000639,0.00000650
176,2018-05-11,0.00000650,0.00000681,0.00000572,0.00000589
177,2018-05-12,0.00000589,0.00000801,0.00000537,0.00000579
178,2018-05-13,0.00000578,0.00000672,0.00000567,0.00000657
179,2018-05-14,0.00000655,0.00000746,0.00000624,0.00000697
180,2018-05-15,0.00000696,0.00000740,0.00000631,0.00000642
181,2018-05-16,0.00000643,0.00000650,0.00000616,0.00000625
182,2018-05-17,0.00000624,0.00000653,0.00000622,0.00000627
183,2018-05-18,0.00000628,0.00000629,0.00000600,0.00000612
184,2018-05-19,0.00000613,0.00000628,0.00000593,0.00000614
185,2018-05-20,0.00000614,0.00000649,0.00000601,0.00000633
186,2018-05-21,0.00000634,0.00000647,0.00000600,0.00000610
187,2018-05-22,0.00000611,0.00000624,0.00000567,0.00000573
188,2018-05-23,0.00000573,0.00000586,0.00000438,0.00000521
189,2018-05-24,0.00000521,0.00000550,0.00000495,0.00000530
190,2018-05-25,0.00000530,0.00000587,0.00000526,0.00000546
191,2018-05-26,0.00000546,0.00000603,0.00000535,0.00000543
192,2018-05-27,0.00000542,0.00000548,0.00000521,0.00000528
193,2018-05-28,0.00000528,0.00000536,0.00000491,0.00000502
194,2018-05-29,0.00000497,0.00000550,0.00000490,0.00000537
195,2018-05-30,0.00000540,0.00000559,0.00000509,0.00000522
196,2018-05-31,0.00000520,0.00000579,0.00000516,0.00000564
